,sno,Dates,Current,Temporal,Spatial,Derived
0,1,4/26/2020,3,3.0,74.36,3.9224370610028476
1,2,4/27/2020,3,3.0,76.69230769,4.016443912474135
2,3,4/28/2020,3,3.0,86.0,4.391603181672707
3,4,4/29/2020,3,3.0,88.42307692,4.489268611109225
4,5,4/30/2020,3,3.0,92.34615385,4.64739359258152
5,6,5/1/2020,3,3.0,99.15384615,4.921786941989173
6,7,5/2/2020,3,3.0,105.57692309999999,5.1806778436554515
7,8,5/3/2020,3,3.0,111.42307690000001,5.416315068671376
8,9,5/4/2020,3,3.0,148.0769231,6.893698473249008
9,10,5/5/2020,3,3.0,154.9615385,7.171192313414125
10,11,5/6/2020,3,3.0,164.0,7.535499866573823
11,12,5/7/2020,3,3.0,173.5,7.918410360247677
12,13,5/8/2020,3,3.0,179.5384615,8.161798810141946
13,14,5/9/2020,3,3.0,187.0769231,8.465646815699566
14,15,5/10/2020,3,3.0,217.92307689999998,9.708943234594052
15,16,5/11/2020,3,3.0,229.0,10.155413770658086
16,17,5/12/2020,4,3.2,242.5384615,10.85330157833583
17,18,5/13/2020,4,3.4,258.3076923,11.527956223832245
18,19,5/14/2020,4,3.6,271.6153846,12.10339519330422
19,20,5/15/2020,6,4.2,287.1538462,13.073151569798682
20,21,5/16/2020,7,5.0,301.4230769,13.917656718563439
21,22,5/17/2020,7,5.6,318.03846150000004,14.704525209611855
22,23,5/18/2020,11,7.0,336.2307692,16.163760141530073
23,24,5/19/2020,11,8.4,347.96153849999996,16.909964450577867
24,25,5/20/2020,11,9.4,368.2307692,17.922214665565367
25,26,5/21/2020,19,11.8,388.4230769,20.10992296112938
26,27,5/22/2020,26,15.6,412.3461538,22.608237249705404
27,28,5/23/2020,29,19.2,434.5,24.543596565531608
28,29,5/24/2020,31,23.2,464.03846150000004,26.741563990717637
29,30,5/25/2020,37,28.4,488.65384620000003,29.42801492970747
30,31,5/26/2020,37,32.0,511.61538459999997,31.056487274487797
31,32,5/27/2020,45,35.8,534.3461538,33.61989134039435
32,33,5/28/2020,54,40.8,559.2307692,36.61758187122549
33,34,5/29/2020,64,47.4,587.7307692,40.186576630531675
34,35,5/30/2020,66,53.2,618.5384615,42.787190206011715
35,36,5/31/2020,73,60.4,646.0384615,46.09359917663841
36,37,6/1/2020,76,66.6,663.1923077,48.335131639215525
37,38,6/2/2020,80,71.8,683.9615385,50.64026334474106
38,39,6/3/2020,91,77.2,710.6538462,54.015218585443954
39,40,6/4/2020,96,83.2,742.0,57.0160319277129
40,41,6/5/2020,106,89.8,770.0,60.56487350314152
41,42,6/6/2020,118,98.2,800.0384615,64.77366086427492
42,43,6/7/2020,124,107.0,835.7692308,68.6111087164983
43,44,6/8/2020,125,113.8,861.6538462000001,71.09541472227555
44,45,6/9/2020,125,119.6,884.3076923,73.14108163427149
45,46,6/10/2020,140,126.4,918.0,77.52415053670768
46,47,6/11/2020,140,130.8,961.2307691999999,80.12581887085025
47,48,6/12/2020,140,134.0,1005.4230769999999,82.53191795547981
48,49,6/13/2020,143,137.6,1046.807692,85.24239971077294
49,50,6/14/2020,146,141.8,1089.807692,88.13515445690989
50,51,6/15/2020,150,143.8,1123.961538,90.35490371045339
51,52,6/16/2020,151,146.0,1164.5,92.5316057642321
52,53,6/17/2020,156,149.2,1203.269231,95.28485717081652
53,54,6/18/2020,161,152.8,1257.807692,98.75181742030819
54,55,6/19/2020,166,156.8,1316.269231,102.45501115371174
55,56,6/20/2020,169,160.6,1370.692308,105.7300801829942
56,57,6/21/2020,176,165.6,1425.6538460000002,109.7137674771559
57,58,6/22/2020,179,170.2,1481.038462,113.18380956960684
58,59,6/23/2020,183,174.6,1527.461538,116.36673767547349
59,60,6/24/2020,186,178.6,1578.5,119.54443939751229
60,61,6/25/2020,190,182.8,1643.461538,123.43553134070979
61,62,6/26/2020,194,186.4,1726.5,127.93807574156534
62,63,6/27/2020,195,189.6,1816.576923,132.30676437071332
63,64,6/28/2020,203,193.6,1913.076923,137.88259241191457
64,65,6/29/2020,207,197.8,1987.615385,142.15969537581913
65,66,6/30/2020,215,202.8,2072.3076920000003,147.45486934890198
66,67,7/1/2020,223,208.6,2157.461538,152.9248632012758
67,68,7/2/2020,229,215.4,2256.1923079999997,158.91106995372866
68,69,7/3/2020,241,223.0,2348.653846,165.47968787405486
69,70,7/4/2020,253,232.2,2482.576923,174.0319036702564
70,71,7/5/2020,264,242.0,2593.423077,181.65798784036653
71,72,7/6/2020,285,254.4,2681.8076920000003,190.0179076443629
72,73,7/7/2020,292,267.0,2784.461538,197.40795937078806
73,74,7/8/2020,309,280.6,2903.461538,206.7836100396391
74,75,7/9/2020,329,295.8,3029.2307690000002,217.08397976973473
75,76,7/10/2020,332,309.4,3177.923077,226.0723563448365
76,77,7/11/2020,345,321.4,3333.7692309999998,236.16811833007088
77,78,7/12/2020,381,339.2,3484.384615,249.7880091452359
78,79,7/13/2020,395,356.4,3601.8076920000003,259.46363379964134
79,80,7/14/2020,410,372.6,3744.5,270.07564559330706
80,81,7/15/2020,429,392.0,3904.1923079999997,282.4503227931605
81,82,7/16/2020,434,409.8,4078.384615,293.5129452684139
82,83,7/17/2020,466,426.8,4268.384615,308.11148050149035
83,84,7/18/2020,481,444.0,4446.307692,320.33878777504594
84,85,7/19/2020,498,461.6,4683.615385,335.26407641933537
85,86,7/20/2020,500,475.8,4870.9615380000005,345.8144644051611
86,87,7/21/2020,556,500.2,5081.0,365.3812206332613
87,88,7/22/2020,573,521.6,5347.4615380000005,382.2236252390591
88,89,7/23/2020,593,544.0,5581.807692,398.3062886249268
89,90,7/24/2020,619,568.2,5825.807692,415.8084357646091
90,91,7/25/2020,634,595.0,6058.4615380000005,432.11634456448337
91,92,7/26/2020,671,618.0,6302.5,450.630337659351
92,93,7/27/2020,693,642.0,6476.423077,464.8162948599346
93,94,7/28/2020,708,665.0,6682.076923,479.29390136695804
94,95,7/29/2020,759,693.0,6918.0,500.0412116904347
95,96,7/30/2020,858,737.8,7204.653845999999,531.5449240950941
96,97,7/31/2020,971,797.8,7460.769231,566.3699266933555
97,98,8/1/2020,1004,860.0,7702.961538,592.0115475185595
98,99,8/2/2020,1092,936.8,7933.230769,626.2466565706357
99,100,8/3/2020,1127,1010.4,8144.384615000001,653.0896156025342
100,101,8/4/2020,1471,1133.0,8353.576923,724.3843357470121
101,102,8/5/2020,1613,1261.4,8611.730769,775.9293215752663
102,103,8/6/2020,1729,1406.4,8920.884615,829.8296016014078
103,104,8/7/2020,1892,1566.4,9211.846154,891.2436094237935
104,105,8/8/2020,2088,1758.6,9537.961538,964.0961352341678
105,106,8/9/2020,2249,1914.2,9876.115385,1026.3268057856576
106,107,8/10/2020,2409,2073.4,10107.46154,1084.8422749881597
107,108,8/11/2020,2737,2275.0,10388.46154,1172.647365168692
108,109,8/12/2020,2858,2468.2,10726.38462,1237.6850347173618
109,110,8/13/2020,3065,2663.6,11025.07692,1311.3017243631502
110,111,8/14/2020,3256,2865.0,11359.0,1385.6997077541719
111,112,8/15/2020,3432,3069.6,11734.96154,1460.719765898848
112,113,8/16/2020,3559,3234.0,12024.0,1518.8421491255626
113,114,8/17/2020,3711,3404.6,12248.692309999999,1578.4103381351827
114,115,8/18/2020,3813,3554.2,12546.88462,1631.1829825627362
115,116,8/19/2020,4119,3726.8,12899.5,1713.7225231471598
116,117,8/20/2020,4383,3917.0,13297.84615,1796.7898876361596
117,118,8/21/2020,4520,4109.2,13665.65385,1864.647184439917
118,119,8/22/2020,4783,4323.6,14055.42308,1951.9812588555894
119,120,8/23/2020,4966,4554.2,14330.730769999998,2028.8134073512083
120,121,8/24/2020,5168,4764.0,14627.769230000002,2104.6096043991533
121,122,8/25/2020,5273,4942.0,14920.96154,2163.0658597089605
122,123,8/26/2020,5328,5103.6,15300.384619999999,2216.1379488162124
123,124,8/27/2020,5377,5222.4,15702.807690000001,2261.100594612624
124,125,8/28/2020,5515,5332.2,16090.884619999999,2313.79767520661
125,126,8/29/2020,5672,5433.0,16543.57692,2369.491526361252
126,127,8/30/2020,5780,5534.4,16976.80769,2418.9738954913673
127,128,8/31/2020,5912,5651.2,17274.80769,2468.7283160366915
128,129,9/1/2020,6185,5812.8,17728.84615,2549.4740067425682
129,130,9/2/2020,6353,5980.4,18187.69231,2619.704631416156
130,131,9/3/2020,6643,6174.6,18698.80769,2711.0402301731824
131,132,9/4/2020,6859,6390.4,19205.80769,2798.054904335976
132,133,9/5/2020,7090,6626.0,19792.615380000003,2893.849915886992
133,134,9/6/2020,7272,6843.4,20410.76923,2981.810221263757
134,135,9/7/2020,7441,7061.0,20818.42308,3059.8541746481874
135,136,9/8/2020,7604,7253.2,21391.07692,3138.9099069230706
136,137,9/9/2020,7790,7439.4,22036.84615,3222.3434176153496
137,138,9/10/2020,8026,7626.6,22674.84615,3311.3164185125543
138,139,9/11/2020,8253,7822.8,23358.69231,3402.8764255997194
139,140,9/12/2020,8450,8024.6,23966.884619999997,3489.086198118136
140,141,9/13/2020,8699,8243.6,24583.53846,3584.87935116504
141,142,9/14/2020,9026,8490.8,25004.46154,3687.1154494570646
142,143,9/15/2020,9212,8728.0,25595.615380000003,3778.3064407171664
143,144,9/16/2020,9450,8967.4,26228.15385,3877.4787558578023
144,145,9/17/2020,9664,9210.2,26904.76923,3976.376036167422
145,146,9/18/2020,9959,9462.2,27471.57692,4081.808798872815
