sno,Dates,Current,Temporal,Spatial
1,4/26/2020,3,3,74.36
2,4/27/2020,3,3,76.69230769
3,4/28/2020,3,3,86
4,4/29/2020,3,3,88.42307692
5,4/30/2020,3,3,92.34615385
6,5/1/2020,3,3,99.15384615
7,5/2/2020,3,3,105.5769231
8,5/3/2020,3,3,111.4230769
9,5/4/2020,3,3,148.0769231
10,5/5/2020,3,3,154.9615385
11,5/6/2020,3,3,164
12,5/7/2020,3,3,173.5
13,5/8/2020,3,3,179.5384615
14,5/9/2020,3,3,187.0769231
15,5/10/2020,3,3,217.9230769
16,5/11/2020,3,3,229
17,5/12/2020,4,3.2,242.5384615
18,5/13/2020,4,3.4,258.3076923
19,5/14/2020,4,3.6,271.6153846
20,5/15/2020,6,4.2,287.1538462
21,5/16/2020,7,5,301.4230769
22,5/17/2020,7,5.6,318.0384615
23,5/18/2020,11,7,336.2307692
24,5/19/2020,11,8.4,347.9615385
25,5/20/2020,11,9.4,368.2307692
26,5/21/2020,19,11.8,388.4230769
27,5/22/2020,26,15.6,412.3461538
28,5/23/2020,29,19.2,434.5
29,5/24/2020,31,23.2,464.0384615
30,5/25/2020,37,28.4,488.6538462
31,5/26/2020,37,32,511.6153846
32,5/27/2020,45,35.8,534.3461538
33,5/28/2020,54,40.8,559.2307692
34,5/29/2020,64,47.4,587.7307692
35,5/30/2020,66,53.2,618.5384615
36,5/31/2020,73,60.4,646.0384615
37,6/1/2020,76,66.6,663.1923077
38,6/2/2020,80,71.8,683.9615385
39,6/3/2020,91,77.2,710.6538462
40,6/4/2020,96,83.2,742
41,6/5/2020,106,89.8,770
42,6/6/2020,118,98.2,800.0384615
43,6/7/2020,124,107,835.7692308
44,6/8/2020,125,113.8,861.6538462
45,6/9/2020,125,119.6,884.3076923
46,6/10/2020,140,126.4,918
47,6/11/2020,140,130.8,961.2307692
48,6/12/2020,140,134,1005.423077
49,6/13/2020,143,137.6,1046.807692
50,6/14/2020,146,141.8,1089.807692
51,6/15/2020,150,143.8,1123.961538
52,6/16/2020,151,146,1164.5
53,6/17/2020,156,149.2,1203.269231
54,6/18/2020,161,152.8,1257.807692
55,6/19/2020,166,156.8,1316.269231
56,6/20/2020,169,160.6,1370.692308
57,6/21/2020,176,165.6,1425.653846
58,6/22/2020,179,170.2,1481.038462
59,6/23/2020,183,174.6,1527.461538
60,6/24/2020,186,178.6,1578.5
61,6/25/2020,190,182.8,1643.461538
62,6/26/2020,194,186.4,1726.5
63,6/27/2020,195,189.6,1816.576923
64,6/28/2020,203,193.6,1913.076923
65,6/29/2020,207,197.8,1987.615385
66,6/30/2020,215,202.8,2072.307692
67,7/1/2020,223,208.6,2157.461538
68,7/2/2020,229,215.4,2256.192308
69,7/3/2020,241,223,2348.653846
70,7/4/2020,253,232.2,2482.576923
71,7/5/2020,264,242,2593.423077
72,7/6/2020,285,254.4,2681.807692
73,7/7/2020,292,267,2784.461538
74,7/8/2020,309,280.6,2903.461538
75,7/9/2020,329,295.8,3029.230769
76,7/10/2020,332,309.4,3177.923077
77,7/11/2020,345,321.4,3333.769231
78,7/12/2020,381,339.2,3484.384615
79,7/13/2020,395,356.4,3601.807692
80,7/14/2020,410,372.6,3744.5
81,7/15/2020,429,392,3904.192308
82,7/16/2020,434,409.8,4078.384615
83,7/17/2020,466,426.8,4268.384615
84,7/18/2020,481,444,4446.307692
85,7/19/2020,498,461.6,4683.615385
86,7/20/2020,500,475.8,4870.961538
87,7/21/2020,556,500.2,5081
88,7/22/2020,573,521.6,5347.461538
89,7/23/2020,593,544,5581.807692
90,7/24/2020,619,568.2,5825.807692
91,7/25/2020,634,595,6058.461538
92,7/26/2020,671,618,6302.5
93,7/27/2020,693,642,6476.423077
94,7/28/2020,708,665,6682.076923
95,7/29/2020,759,693,6918
