"sno","Current"
"1","3"
"2","3"
"3","3"
"4","3"
"5","3"
"6","3"
"7","3"
"8","3"
"9","3"
"10","3"
"11","3"
"12","3"
"13","3"
"14","3"
"15","3"
"16","3"
"17","4"
"18","4"
"19","4"
"20","6"
"21","7"
"22","7"
"23","11"
"24","11"
"25","11"
"26","19"
"27","26"
"28","29"
"29","31"
"30","37"
"31","37"
"32","45"
"33","54"
"34","64"
"35","66"
"36","73"
"37","76"
"38","80"
"39","91"
"40","96"
"41","106"
"42","118"
"43","124"
"44","125"
"45","125"
"46","140"
"47","140"
"48","140"
"49","143"
"50","146"
"51","150"
"52","151"
"53","156"
"54","161"
"55","166"
"56","169"
"57","176"
"58","179"
"59","183"
"60","186"
"61","190"
"62","194"
"63","195"
"64","203"
"65","207"
"66","215"
"67","223"
"68","229"
"69","241"
"70","253"
"71","264"
"72","285"
"73","292"
"74","309"
"75","329"
"76","332"
"77","345"
"78","381"
"79","395"
"80","410"
"81","429"
"82","434"
"83","466"
"84","481"
"85","498"
"86","500"
"87","556"
"88","573"
"89","593"
"90","619"
"91","634"
"92","671"
"93","693"
"94","708"
"95","759"
"96","858"
"97","971"
"98","1004"
"99","1092"
"100","1127"
"101","1471"
"102","1613"
"103","1729"
"104","1892"
"105","2088"
"106","2249"
"107","2409"
"108","2737"
"109","2858"
"110","3065"
"111","3256"
"112","3432"
"113","3559"
"114","3711"
"115","3813"
"116","4119"
"117","4383"
"118","4520"
"119","4783"
"120","4966"
"121","5168"
"122","5273"
"123","5328"
"124","5377"
"125","5515"
"126","5672"
"127","5780"
"128","5912"
"129","6185"
"130","6353"
"131","6643"
"132","6859"
"133","7090"
"134","7272"
"135","7441"
"136","7604"
"137","7790"
"138","8026"
"139","8253"
"140","8450"
"141","8699"
"142","9026"
"143","9212"
"144","9450"
"145","9664"
"146","9959"
"147","10207"
"148","10329"
"149","10445"
"150","10660"
"151","10946"
"152","11155"
"153","11341"
"154","11565"
"155","11802"
"156","12026"
"157","12260"
"158","12516"
"159","12630"
"160","12790"
"161","12999"
"162","13131"
"163","13254"
"164","13458"
"165","13557"
"166","13716"
"167","13840"
"168","13929"
"169","14003"
"170","14070"
"171","14177"
"172","14323"
"173","14383"
"174","14479"
"175","14536"
"176","14600"
"177","14642"
"178","14748"
"179","14786"
"180","14869"
"181","14930"
"182","14984"
"183","15046"
"184","15068"
"185","15103"
"186","15160"
"187","15243"
"188","15288"
"189","15334"
"190","15391"
"191","15420"
"192","15451"
"193","15480"
"194","15532"
"195","15561"
"196","15622"
"197","15659"
"198","15685"
"199","15713"
"200","15730"
"201","15749"
"202","15778"
"203","15792"
"204","15820"
"205","15856"
"206","15881"
"207","15903"
"208","15929"
"209","15971"
"210","16004"
"211","16066"
"212","16108"
"213","16145"
"214","16181"
"215","16197"
"216","16270"
"217","16292"
"218","16339"
"219","16360"
"220","16391"
"221","16423"
"222","16451"
"223","16474"
"224","16491"
"225","16535"
"226","16553"
"227","16568"
"228","16583"
"229","16607"
"230","16631"
"231","16651"
"232","16676"
"233","16687"
"234","16713"
"235","16583"
"236","16596"
"237","16630"
"238","16648"
"239","16671"
"240","16685"
"241","16709"
"242","16719"
"243","16739"
"244","16753"
"245","16767"
"246","16786"
"247","16798"
"248","16808"
"249","16831"
"250","16854"
"251","16884"
"252","16905"
"253","16929"
"254","16967"
"255","16984"
"256","17005"
"257","17023"
"258","17048"
"259","17068"
"260","17096"
"261","17131"
"262","17148"
"263","17182"
"264","17213"
"265","17228"
"266","17258"
"267","17281"
"268","17291"
"269","17313"
"270","17325"
"271","17338"
"272","17362"
"273","17383"
"274","17400"
"275","17407"
"276","17437"
"277","17459"
"278","17479"
"279","17486"
"280","17514"
"281","17530"
"282","17539"
"283","17543"
"284","17555"
"285","17564"
"286","17580"
"287","17602"
"288","17626"
"289","17631"
"290","17645"
"291","17664"
"292","17670"
"293","17684"
"294","17700"
"295","17711"
"296","17716"
"297","17732"
"298","17751"
"299","17777"
"300","17806"
"301","17822"
"302","17857"
"303","17862"
"304","17887"
"305","17905"
"306","17933"
"307","17960"
"308","17974"
"309","18008"
"310","18015"
"311","18049"
"312","18081"
"313","18111"
"314","18154"
"315","18184"
"316","18235"
"317","18265"
"318","18303"
"319","18346"
"320","18368"
"321","18441"
"322","18478"
"323","18533"
"324","18606"
"325","18676"
"326","18782"
"327","18878"
"328","18963"
"329","19082"
"330","19188"
"331","19342"
"332","19525"
"333","19678"
"334","19856"
"335","20045"
"336","20235"
"337","20472"
"338","20795"
"339","21074"
"340","21395"
"341","21682"
"342","21966"
"343","22315"
"344","22734"
"345","22975"
"346","23411"
"347","23704"
"348","24066"
"349","24515"
"350","25050"
"351","25731"
"352","26263"
"353","26920"
"354","27493"
"355","28178"
"356","28978"
"357","29602"
"358","30317"
"359","30922"
"360","31664"
"361","32393"
"362","33132"
"363","33937"
"364","34524"
"365","35356"
